Date,GLI_Open,GLI_High,GLI_Low,GLI_Close,TotalVolume,Divisor,SumOpen,SumHigh,SumLow,SumClose,RosterCount,Status
2025-12-31,371.655053023533800129111474040103910721106218404428872602960191508507497642219689136292793761084974749376425488730685071762592637810724702221040385256048156474461723365666372530757,371.655053023533800129111474040103910721106218404428872602960191508507497642219689136292793761084974749376425488730685071762592637810724702221040385256048156474461723365666372530757,371.655053023533800129111474040103910721106218404428872602960191508507497642219689136292793761084974749376425488730685071762592637810724702221040385256048156474461723365666372530757,371.655053023533800129111474040103910721106218404428872602960191508507497642219689136292793761084974749376425488730685071762592637810724702221040385256048156474461723365666372530757,0,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208587,12077.4748,12077.4748,12077.4748,12077.4748,86,SUPERSEDING_BIG_OTC_REPAIR_OPENING_CARRY_FLAT_OHLC
2026-01-02,372.302514250000259480488181631006819854259965001894169269556490514768086109925854890690842899576406756812436025268338734268839332824989208066225103332534170291013339731030951359050,378.224315588117859031656435958206070175178370065742791136639120415965442566283306007056182625118882402204020764292605634959521883203646600583088949841387932727873889035290543697882,368.364221066479506461752529711903919092551598076125063150365878990132680151326805597085507989565258423105290177205542833101219453929228710695941202501766119614186798471481231432802,376.091892766972382253637662155641162433196418612464082242817271992583773638428057323587484955385231074094626683341827803581237825682925502402031295409786041555997000128456153939176,222385260,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12098.515,12290.9526,11970.5344,12221.6564,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-05,375.808126502690778073887223881349469089955196624371455429319723886751538655105387534915981342031513375908752615527438231075505785426438457877702327088643270678916503025216977162946,383.364884219575258418795551369305215694996305029790521089011803559924776684155536362372217073448045826115760715993445247594727930491285975721626640076861528694599133059542333255015,372.178771553454270072414303218988931326287899821062834445946589583979639310639724828638893051395222814250022855739284214460561882515992124820597362706058872586660844995790599823212,378.305782914994376578392431608254851158206631619441407423325893449927775714704200448087798070278254323406580354716165501601428210157799310765242257444722933011993752399976534610042,288637375,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12212.435,12458.0029,12094.4938,12293.60,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-06,377.742029259189510877628119336254523437016878781276169691172957746146728921975188527071255441540740688734490116535453574095299967429055014271683069073831792570399774594942405460398,386.471354575794806949699852070169990980187392157836046929318918856961022699070320375378508928863541740995850185489959580749443640845916249194184204193106124970832918192387956277182,374.243556244934949098780240865775633810017936605221063397886770284822512340546372627697418193947375508679872485624494097331287540608886805769512926742506903131320290495667292209053,383.999633293464589493917578971148990800768856927613565588187121248541699735372818119795815679192127021189159872760768555447438513220002213614764998943958070343223758582589248395988,302781515,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12275.280,12558.9522,12161.5920,12478.63,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-07,384.830508325318261783955068791025893018890250022967304746865906208691271456283281349785289437228548248971025182586003948385714474890169264786945395538294655359231302126520689668091,388.289020067879144599974752069560479939626254806247226666845663413196161216476404297159558875996665874113788207421555537100629841884597989477623400204857577823558933628764289812792,376.866361906846738365150295082500683389837514358782113135058585668806214981461995607118009231645733492256139153109020646441822028625153336024084942887837883487926037746361114946090,380.529563370056528317788339159352213754919376644005321436100560405917805544210862373429525857708190066287508360290900623939329818279671941011260529694856571877266067142377808791209,290073780,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12505.6305,12618.0199,12246.823908,12365.865,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-08,380.039817767865783905797944519129221632499348455173456888763553215651683289501133949686170184326228849267512937766553990409852144533603956366337250059336238900848591336312406748820,390.398170418034637033118300504500796860282478205586102654804602603853725144272834856581152629602412963738773680255540707368060071648048583546122458126261927758799053846922556429886,376.972465514662564265658468805173115375647585224937737282359975684262078469068725480020283841446274819343491214491399973971609699580544629929948487267167888133859034619720025264590,385.668738003664148206224145435848651040797906815281824026613716913011349191574870881582784684799263459213951058291435310247241782085018078342420587221094285275104618634175010681831,367942163,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12349.95,12686.559827,12250.2719,12532.87,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-09,386.668843759029462332221420130651241155748498969489597485740201360572137546324522329827628231726464298486847648457882885179360629020603054412891344106199360342667943921611074762098,392.474872498682593229491448713870162167023886122435093949116184170898039076720996991539669011972200107832398659639165374643866559596090043421672855544694681263733467936673101561260,382.627176249310822558650748876650376370361489210246229187858467733878234290191926652692223908357350377828066825661437116213087005266836513635903656075958896560740603009198300793690,387.636490597574745216888662260797393187712685485395149724349496038463261700366173681222676518566747595082226728622528334503757638050605089220184904927242428044631196731495282978443,319909828,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12565.3699,12754.0453,12434.0300,12596.815,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-12,385.511951711288286265973371908237206186023791601829210148594109521594076625583914782369941633848519356121467446744998232155335483138350382347077570586285859480894939763178892340268,391.175777283974175629957267115902594750116320302785329969827519669215688017668160350839103312475318251865315608600031382744373661395398492069484280421029813093300533055814979498958,381.948825507577063851901376620974872861305435085545656012772260602101520562085030430700484513821883644055601912426960384229184659048908605780880798627928094164752740196197627050527,387.980374173099820228135452088286676063493006880946270447974444536812235385341430679986861227963129410991648585154703868885907371265327660907713503728809485601116606227742902697181,283566873,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12527.775,12711.8293,12411.9860,12607.99,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-13,388.525245774144758767655824294233543026510159700470777291893262263091096025667684865482893455118037239646555713611197191658533414772545892972863962952081695705649335955202307957838,393.142151266324725807467076452325921248455263769451614038174627860195472202424841985955985260338466109849676997125966334165066671003220888073727230679633418576157711032738661785423,384.791107114570851847095973516295040419861245681592481035498623519001246766686653245873194394551937306949510753493941527426170446397271655767821313399097656657188893328400291253069,389.180197046453079708091813195562482714649582380949688525302117194586417396722662928918902554080796256835796968706339133812978342007344043019278610419914592905578898510400145903763,279967427,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12625.6964,12775.7295,12504.3501,12646.98,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-14,389.106650581530938385775944946103924676786945411341887314611859752881357252911399910838687658737856432225191309904379444580464886760526419186330659535284143906921168873171348487408,393.506667856381305319388673669464561096782404448735802005217073268445384308498614404646021052298630834713664165050072400610145388210826814062507545409294499586032245098761138687285,384.486147774811474140701627935140539996839271358366426316644430936138771230626403189188366932485800086918731197304275955767956390815059382149872573624295894054009827856475142602093,389.949511533086357138174117060191750893129048590236312068087236877693741076756794917205669241768451325984391726049013707374834568438490735832541694987178703770199501410282964066486,304877745,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12644.59,12787.575,12494.440,12671.98,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-15,391.130633909898534910360037525126149293403145225624390900336888846210950264123757485766435843241806652407676068239163238767763938028418804135202002618622755067764596077649855729170,396.512899612250484334262970505983601255390331047576117944393458611251478477199671156106500355375176044703968332043865607528045479686384398048268182658762851273049424156163630034122,386.720732482523903628325611361712756035850582006373561670453972112958360313895464464173594071277621257590782067651131599816960707780931036549760312634092190092264874346002371081537,392.621186882266402997363941921276273423352538841846898307471400513188854752779328486127952594770139850123631599348653966440448871588576970634441735072373507980853931160996014981991,255595275,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12710.3623,12885.2669,12567.0561,12758.80,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-01-16,392.104053684351513908862617263472479353778641655964429962011243062204111775060384963601588027306498112641946203462908118092169116181560163725366289626258572657655961891694784613008,396.013272934793422106960598754923310812485912594752176004272919343775525757143584341105589450656554585975828358456209661775739324568034765280851351965060578056686761326452133075250,387.734633585263525685199121929415878187777667948646262862949679326676629196875487967232395918448437127563651259006248015202190760568879335115758503151657445195852576284639133857099,392.019275227924526736067547377590334000510204479701044047596322873125684705520623618492386338323318524021771061203745380085652560028847798177344697706946067640374771452127698051476,306000436,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12741.995,12869.0308,12600.0043,12739.24,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
