Date,IndexClose,Divisor,ComponentSum,RosterCount,Status
2025-12-31,371.655053023533800129111474040103910721106218404428872602960191508507497642219689136292793761084974749376425488730685071762592637810724702221040385256048156474461723365666372530757,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208587,12077.4748,86,SUPERSEDING_BIG_OTC_REPAIR_OPENING_CARRY
2026-01-02,376.091892766972382253637662155641162433196418612464082242817271992583773638428057323587484955385231074094626683341827803581237825682925502402031295409786041555997000128456153939176,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12221.6564,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-05,378.305782914994376578392431608254851158206631619441407423325893449927775714704200448087798070278254323406580354716165501601428210157799310765242257444722933011993752399976534610042,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12293.60,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-06,383.999633293464589493917578971148990800768856927613565588187121248541699735372818119795815679192127021189159872760768555447438513220002213614764998943958070343223758582589248395988,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12478.63,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-07,380.529563370056528317788339159352213754919376644005321436100560405917805544210862373429525857708190066287508360290900623939329818279671941011260529694856571877266067142377808791209,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12365.865,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-08,385.668738003664148206224145435848651040797906815281824026613716913011349191574870881582784684799263459213951058291435310247241782085018078342420587221094285275104618634175010681831,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12532.87,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-09,387.636490597574745216888662260797393187712685485395149724349496038463261700366173681222676518566747595082226728622528334503757638050605089220184904927242428044631196731495282978443,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12596.815,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-12,387.980374173099820228135452088286676063493006880946270447974444536812235385341430679986861227963129410991648585154703868885907371265327660907713503728809485601116606227742902697181,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12607.99,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-13,389.180197046453079708091813195562482714649582380949688525302117194586417396722662928918902554080796256835796968706339133812978342007344043019278610419914592905578898510400145903763,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12646.98,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-14,389.949511533086357138174117060191750893129048590236312068087236877693741076756794917205669241768451325984391726049013707374834568438490735832541694987178703770199501410282964066486,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12671.98,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-15,392.621186882266402997363941921276273423352538841846898307471400513188854752779328486127952594770139850123631599348653966440448871588576970634441735072373507980853931160996014981991,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12758.80,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-16,392.019275227924526736067547377590334000510204479701044047596322873125684705520623618492386338323318524021771061203745380085652560028847798177344697706946067640374771452127698051476,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12739.24,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-20,387.127050544526188902688160641639891799923582961605547614317189784309591959447571478579179617979982408292027280310209231891096444907899749239242090326800133830079433491192880791089,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12580.26,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-21,395.027602596455294798661388409836624285636309144495456749303254881948563223926093345488958793857124906420436000316540032541935147865203825754328663598775646765387177031829470194988,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12837.00,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-22,395.682750813272193858119478380954909066429422568323945358339062804082760069843160146713969305091931963307379295669561699387211910293968349354103506416257763577698082461369678142364,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12858.29,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-23,392.133287634843578451205744810328391544560861371917321656637077610162190074901681979156485161438629005269592804241929751887519652785943738052270286839814608870511544801890331703193,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12742.945,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-26,392.345156844462383055450411294647292000914106365954857780320099570889947016383081928730660707227809211313115800414102329446454857545081537253042940329639145002628058840518059825206,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12749.83,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-27,389.160194869800614494909673295082121742009116259508236313189704082825626981041775497223446620200917225037933505015429594900370080120134229006133770221165726023098762835003192631533,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12646.33,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-28,386.722698850351738285436901730390748445314775522004498280229330878868382633221631705535655046931350903947525875850899476026984812295689047496591013078246117159634844607014471564762,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12567.12,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-29,390.283701746079852853801869858986704989860528711550421335073092868035562483363621852917440690899968688022541288638671542130104913200180859190623178923198233529790691309992060276373,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12682.84,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-01-30,390.944850615892491477214601800249098062445781971811345607742624723697996453984954883651087982298739454448843623098966070649164154195108326994341473800305010406845637442151354205418,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12704.325,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-02-02,395.865232209501607264535000857644971478364751953166732462687693192915817246747256254335590363411443745709425972111244108236084207203436344889409510075612810674786089469221882610561,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12864.22,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-02-03,398.132863590301855817445599729026202361250826551659984017401111970842964526015863703009663852039575827531823878854511681267011620231884336625783778146080503859341778576916477427004,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12937.91,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-02-04,406.471617173817276537593707778515766001425456687359553922357581239979867358641827150447585333223606653047272172643229919018683629764369569367305004387569654343137417529326320056390,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,13208.89,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
2026-02-05,399.818585493412693322241943957201854793935032909448833524351866220467732173706653715743627018100765615050224711143780206855750983587812969918205849049869623585898443651139708585163,32.4964633246496845751608628665930790194654920886196520704920580427928554117171247166074213377273152412534477527122572646232771548256802606751923623547145035295591622694621176208588,12992.69,86,SUPERSEDING_BIG_OTC_REPAIR_2026_DAILY_CLOSE
