Date,GLI_Open,GLI_High,GLI_Low,GLI_Close,TotalVolume,Divisor,ComponentSum,RosterCount,SourceYear,LockedBundle
2005-08-15,97.9949657001630928637242091244895736522986974113951334735490308689691238171793540509932526436085461064487408487363117440061813320470160817416762332392620855909778381642285809306137,99.2810720151139002191856908315592795828513775669792714196512350419759724643442282960184427368778661599547207287625259778907694265416722833885742830561418990963030664573922522130955,97.1282694248661941138368657869174762567341326563019804143038016528738681771194782050846516349423245137412627818023900336839564486634251044742099612444386447657143345656828162436999,98.54133914,31736867,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-16,98.2230436673464872715892994764822308616577933995775421733504069784678753014056371683376213300996570518980771821399753519857141960953294968120620942905314121239419180585827295324331,98.7302637243660027241914976314970124222491607555187544096309117375364876299377545676317923590018332266945734835926783646201975598649953859935924286173264755191948135125269833397015,96.7899664445423359307485298253701454326964380013863065323039716113456922950440597078636905482408705619328277392721447742703148965953184450873081776773364364821805585046071821592568,97.21822084,33857150,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-17,97.2195006117395518769829019277145391404777710515749438942243520966733687708099914520223991095387688919209973151638554768757695942827504705023643056649463753788999665234244756844277,98.1381479795615571308839602899071862337296854484207567128687836488211178044991873413261063190168546444252686580397227867933325189217906145358629126770033850255608438756842408862003,96.5073905142002871146485642731596871868121491329165345092889444659050446922812630523138702106054113844625138742035279897396725409763496967826040061604277003148676726310520783831915,97.32112202,43899550,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-18,97.1346049239546217362775627411394945125496631004181584337427287670266112739035416250108840984559664844481887910636029116833879171092115882261651240514183482805188923405259870381949,97.8859951158421377577442215118708596522715737725968715391994845055419425524934632282620542711739042102896134894434502424159600747794885612080474329592111851363394444369260432653000,96.1424657667068560620644197099714356518375955518246805896067426907070423175192100645628803122196338717435757407576662169724199584990482326699866284783967778621251448000854406202804,96.92173215,36504617,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-19,97.5654188619677000622449556282367359080057333003182637555897725294131418552198541799946916173836204925191574208260786156447277714226924833591161949260381872872288210298616010638538,98.2547211627886253837927842475923221407354456201584322705450425492315907853259542679687836476678669054327072284460397419828715383242619155718379083254299296979647069327985835049081,96.3756121331609925678820676253417074658491158953000317049592604915279882791727439178482349695216583937584528815703001273514979973039908347419366197752498672069328709143141258576958,97.09405773,36383917,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-22,96.8862533596882589366022421356363788845808696910639800717367858922390818799682555639025715287212012327366892280240580941056743540343814251495227420178139705001802275666736918939915,97.9957132890555273231722113650877718064849300038008424798428242684391475025998735345445480743031558589921581178291348636101142453236188868244069424504856906057247759816600750843641,96.1589380643367678804102317909486831169579747065267434401479531875041743691577749563710847173551029955815833648368196997709417764580930904250700517765440070006169950146776846859674,97.20176121,31893700,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-23,97.1333378241369362117894233502950908613865570115949228298549433441960626545467289410256376057532380903068035892113603360835016234200542914757740914900224075775579807855573528792959,97.5337413665255619500414708571266446289280810797373736583951369586494263712995370803635292998154106389845273745200142256475704291937600645993403808911396697132060321556457470913789,95.9346613966064300460095596114892368610881969848140415520099333464970687430019298909824555089721772325564026369898838185910677934772515656058572884094625025765356497852294385608449,96.64423729,43684967,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-24,96.6949212872177447388931941181314275589518502787554038846811870448262403570895402821303511306092137173875237483354291785228440069716296158404768252470269243530825827664099339002430,97.6224383537635486642112282162349002103455072973638659305401165567878297262764249593307837890063982288814915041769945176396109874347708371267126601888555189204698410034501382143087,95.3218919247737104035453501991356311586100924298973035118769028656437564220473159157172516379327258257825190212453742584860561654007828571167539417183855786246388218023979593172901,95.9181891,56846867,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-25,95.8104856144732486461718993087376790471038002801369523710069619091033040460342868604282992241047946067006528554701114098022110119398364840675360973926603136863663173983032909887432,96.5149931131064002615774006182261090937907856658559481326156570028883364084221391562253491668217817493108250853169834433389903031112934772849502015288033445326331419608638833365855,95.0451573245911918553357072387178737445877226309026476227845665194519379545194257333394176316568445453039909367155957474708896236888292468313524303095121290979757381972482590137492,95.83709471,41106567,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-26,95.6837756327046961973579602242973139307931913978133919822284196260484421103530184619036499538319551925621326702458538498135816430241068090284328412530662433902751619014398750988436,96.4174264271446148759906675232070279542316168264668066332561794449360927179475624893613692287116954004241645426943051221477456890461816275048406943013159104046429522282790531013627,94.5180438004340136682697206474459548607355896804366364054658306219437123020853491954768766673218325824877469661826842979181914489993937986686828847688007966662365313302964489117665,95.35432968,39026950,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
2005-08-29,94.9526590379001485677015317070764072096809781468064485389762306528218887414720998024164236643576717729828712015018877286791901843803465840528070533276084577818291946845379654141224,95.8054172152025065482193417453600644424513759248440099554558202177811095686070361244873132532938810301351120480611411074026658371832072970659719671470765508745226711784287543531473,94.0492168678903696076581460350166039303863368158394629669852241746407231400646561209356743673123267501752222808529313259602627840111940010240008370523027365706992559919018101191377,95.34039158,39323267,7.892038070265,None,25,2005,GLI_2005_final_lock_bundle
