Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
THO,2009-04-09,2025-12-31,"THOR Industries, Inc.",THO,Thor Industries,GLI historical roster and company-name audit,Thor Industries,,,,,
TOWR,2013-08-02,2019-09-27,"Tower International, Inc.",TOWR,Tower International,GLI historical roster and company-name audit,Tower International,,,,,
TR,2010-01-27,2025-12-31,"Tootsie Roll Industries, Inc.",TR,Tootsie Roll Industries,GLI historical roster and company-name audit,Tootsie Roll Industries,,,,,
TRB,2006-07-07,2007-07-30,Tribune Company,TRB,,GLI historical roster and company-name audit,Tribune Company,,,,,
TRCO,2015-10-30,2019-09-18,Tribune Media Company,TRCO,,GLI historical roster and company-name audit,,,,,,
TWTI,2007-01-19,2008-07-24,"Third Wave Technologies, Inc.",TWTI,Third Wave Technologies,GLI historical roster and company-name audit,Third Wave Technologies,,,,,
UAG,2006-11-20,2007-06-29,"United Auto Group, Inc.",PENSKE_AUTO,United Auto Group,GLI historical roster and company-name audit,United Auto Group,,,,,
UAL,2010-10-01,2025-12-31,"United Continental Holdings, Inc.",UAL,UAL Corporation,GLI historical roster and company-name audit,"United Continental Holdings, Inc.",,,,,
UAUA,2006-07-17,2010-09-30,UAL Corporation,UAL,UAL Corporation|UAL Corp.,GLI historical roster and company-name audit,UAL Corp.,,,,,
UFPI,2009-04-09,2020-03-31,"Universal Forest Products, Inc.",UFPI,"United Forest Products, Inc.",historical corporate-name chronology,"United Forest Products, Inc.",,,,,
UFPI,2020-04-01,2025-12-31,"UFP Industries, Inc.",UFPI,,historical corporate-name chronology,,,,,,
ULTA,2016-03-08,2025-12-31,"Ulta Beauty, Inc.",ULTA,,GLI historical roster and company-name audit,,,,,,
USG,2007-05-29,2019-04-23,USG Corporation,USG,USG Corp.,GLI historical roster and company-name audit,USG Corp.,,,,,
VCI,2011-04-29,2014-02-04,"Valassis Communications, Inc.",VCI,,GLI historical roster and company-name audit,Valassis Communications Inc.,,,,,
WAG,2006-11-20,2014-12-30,Walgreen Co.,WBA,Walgreen,GLI historical roster and company-name audit,Walgreen,,,,,
WBA,2014-12-31,2025-08-27,"Walgreens Boots Alliance, Inc.",WBA,,GLI historical roster and company-name audit,,2014-12-31,NAME_AND_TICKER_CHANGE,WAG,,Verified same-security WAG→WBA name/ticker continuity.
WEC,2005-09-22,2006-03-06,Wisconsin Energy Corporation,WEC,Wisconsin Energy,historical corporate-name chronology,Wisconsin Energy,,,,,
WEC,2013-12-20,2015-06-28,Wisconsin Energy Corporation,WEC,Wisconsin Energy,historical corporate-name chronology,Wisconsin Energy,,,,,
WEC,2015-06-29,2025-12-31,"WEC Energy Group, Inc.",WEC,,historical corporate-name chronology,,,,,,
WEN,2005-08-01,2008-09-28,"Wendy's International, Inc.",WENDYS_OLD,Wendy's International,historical corporate-name chronology,Wendy's International,,,,,
WEN,2008-09-29,2009-05-15,"Wendy's/Arby's Group, Inc.",WENDYS_NEW,Wendy's/Arby's Group,historical corporate-name chronology,Wendy's/Arby's Group,2008-09-30,SECURITY_REPLACEMENT_SAME_TICKER,WEN,"Wendy's International, Inc.","Ticker WEN was reused, but the accepted GLI reconstruction treats the post-merger company as a new security."
WHR,2005-08-01,2025-12-31,Whirlpool Corporation,WHR,Whirlpool Corp.,GLI historical roster and company-name audit,Whirlpool Corp.,,,,,
WLP,2007-01-19,2014-12-02,"WellPoint, Inc.",ELV,,GLI historical roster and company-name audit,"WellPoint, Inc.",,,,,
WNC,2020-06-22,2025-12-31,Wabash National Corporation,WNC,,GLI historical roster and company-name audit,,,,,,
WWW,2005-10-10,2025-12-31,"Wolverine World Wide, Inc.",WWW,Wolverine Worldwide,GLI historical roster and company-name audit,Wolverine Worldwide,,,,,
WWY,2005-08-01,2008-10-06,Wm. Wrigley Jr. Company,WWY,,GLI historical roster and company-name audit,Wm. Wrigley Jr. Company,,,,,
XRIT,2007-01-19,2008-05-23,"X-Rite, Incorporated",XRIT,X-Rite,GLI historical roster and company-name audit,X-Rite,,,,,
ZBH,2015-06-29,2025-12-31,"Zimmer Biomet Holdings, Inc.",ZBH,,GLI historical roster and company-name audit,,2015-06-29,NAME_AND_TICKER_CHANGE,ZMH,,Verified same-security ZMH→ZBH rekey; same listed security.
ZEUS,2006-07-07,2025-12-31,"Olympic Steel, Inc.",ZEUS,Olympic Steel,GLI historical roster and company-name audit,Olympic Steel,,,,,
ZMH,2005-08-31,2015-06-26,"Zimmer Holdings, Inc.",ZBH,Zimmer Holdings,GLI historical roster and company-name audit,Zimmer Holdings,,,,,
BBWI,2021-08-03,2025-12-31,"Bath & Body Works, Inc.",LB_BBWI,,GLI accepted continuity repair,,2021-08-03,NAME_AND_TICKER_CHANGE,LB,"L Brands, Inc.",Same accepted GLI security lineage; LB continued as BBWI after the 2021 Victoria's Secret separation. This is not membership turnover.
VSCO,2021-12-13,2025-12-31,Victoria's Secret & Co.,VSCO,,GLI accepted continuity repair,,,,,,
