Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
CTS,2005-08-31,2025-12-31,CTS Corporation,CTS,CTS Corp.,GLI historical roster and company-name audit,CTS Corp.,,,,,
DBI,2019-04-02,2021-01-11,Designer Brands Inc.,DBI,,GLI historical roster and company-name audit,,2019-04-02,NAME_AND_TICKER_CHANGE,DSW,,Accepted continuous DSW→DBI raw-price/security lineage.
DE,2005-09-22,2025-12-31,Deere & Company,DE,Deere & Co.,GLI historical roster and company-name audit,Deere & Co.,,,,,
DF,2005-08-01,2005-10-07,Dean Foods Company,DF,Dean Foods,GLI historical roster and company-name audit,Dean Foods,,,,,
DFS,2011-12-27,2025-05-16,Discover Financial Services,DFS,,GLI historical roster and company-name audit,Discover Financial Services,,,,,
DOW,2005-08-01,2017-08-31,The Dow Chemical Company,DOW,Dow Chemical,accepted ticker lineage,Dow Chemical,,,,,
DOW,2019-04-02,2025-12-31,Dow Inc.,DOW,,accepted ticker lineage,,,,,,
DPH,2005-08-01,2005-10-10,Delphi Corporation,DPH,Delphi Corp.,GLI historical roster and company-name audit,Delphi Corp.,,,,,
DPZ,2005-09-22,2025-12-31,"Domino's Pizza, Inc.",DPZ,Domino's Pizza,GLI historical roster and company-name audit,Domino's Pizza,,,,,
DSW,2005-08-01,2019-04-01,DSW Inc.,DBI,DSW,GLI historical roster and company-name audit,DSW,,,,,
DV,2005-09-22,2017-05-23,DeVry Inc.,ATGE,DeVry,GLI historical roster and company-name audit,DeVry,,,,,
DW,2005-08-01,2007-05-25,Drew Industries Incorporated,DW,Drew Industries,GLI historical roster and company-name audit,Drew Industries,,,,,
DWDP,2017-09-01,2019-04-01,DowDuPont Inc.,DWDP,,GLI historical roster and company-name audit,,,,,,
